         MJD         m       dm   uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs
57400.613242 19.631075      NaN   -11    17 c    0   2.59 186.44114 12.66357  2691.81  5137.28 4.03 3.69 -53.2 -0.393    19.72 21.79 02a57400o0627c
57400.624477 19.569016      NaN   -18    18 c    0   2.31 186.44114 12.66357  2371.70  4543.80 4.32 3.87 -45.1 -0.386    19.69 21.83 02a57400o0644c
57400.652534 19.841877      NaN    -8    14 c    0   3.57 186.44114 12.66357  7373.45  4758.16 3.69 3.49  83.2 -0.395    19.76 21.85 02a57400o0681c
57400.657293 19.696897      NaN    -7    16 c    0   2.61 186.44114 12.66357  7078.86  6503.40 3.70 3.46  85.7 -0.401    19.73 21.80 02a57400o0686c
57401.613911 18.921935      NaN    44    18 c    0   2.50 186.44114 12.66357  2677.05  5261.05 3.85 3.55 -57.6 -0.411    19.71 21.70 02a57401o0648c
57401.623243 19.529530      NaN     5    17 c    0   2.40 186.44114 12.66357  2370.70  4679.78 4.00 3.61 -45.9 -0.406    19.72 21.71 02a57401o0663c
57401.659813 19.569016      NaN   -20    18 c    0   2.49 186.44114 12.66357  7191.65  6607.35 3.56 3.29  86.9 -0.420    19.70 21.62 02a57401o0710c
57436.385723 18.403357      NaN    29    43 c    0   1.39 186.44114 12.66357  3468.46  4850.61 4.32 3.96 -17.9 -0.371    18.37 19.52 02a57436o0284c
57436.399328 18.582238      NaN     8    42 c    0   1.70 186.44114 12.66357  3747.37  5434.85 4.19 4.00 -28.4 -0.365    18.47 19.66 02a57436o0307c
57436.412962 18.847027      NaN   -13    35 c    0   2.13 186.44114 12.66357  2591.64  6012.38 4.24 3.87 -18.8 -0.381    18.53 19.73 02a57436o0330c
57436.426564 18.623526      NaN    27    34 c    0   2.23 186.44114 12.66357  2328.47  5819.02 4.09 3.82 -52.8 -0.400    18.61 19.79 02a57436o0353c
