         MJD         m       dm      uJy   duJy F  err  chi/N        RA      Dec        x        y   maj   min   phi  apfit  mag5sig   Sky            Obs
57205.272537 18.550302      NaN      -28     46 o    0   1.92 186.44114 12.66357   141.00  5135.81  3.98  3.69 -86.4 -0.431    18.28 19.15 02a57205o0017o
57205.273313 18.396507      NaN      -93     53 o    0   2.50 186.44114 12.66357  8660.22  6106.09  4.03  3.46 -88.4 -0.414    18.32 19.24 02a57205o0018o
57205.281246 18.417189      NaN     -117     52 o    0   1.46 186.44114 12.66357   137.88  5134.92  3.95  3.63 -80.8 -0.424    18.27 19.10 02a57205o0029o
57205.281906 18.024380      NaN       38     62 o    0   1.76 186.44114 12.66357  8657.28  6105.49  3.97  3.44 -89.4 -0.429    18.30 19.20 02a57205o0030o
57206.277034 18.438271      NaN      -88     51 o    0   1.53 186.44114 12.66357   119.67  5130.67  4.73  3.71 -47.1 -0.423    18.29 19.39 02a57206o0007o
57206.277692 18.376212      NaN      -52     54 o    0   2.80 186.44114 12.66357  8639.56  6101.15  4.47  3.65 -86.5 -0.463    18.32 19.47 02a57206o0008o
57206.285521 18.323878      NaN       14     52 o    0   1.44 186.44114 12.66357   119.15  5131.55  4.79  3.74 -50.3 -0.419    18.21 19.28 02a57206o0019o
57206.286221 18.526952      NaN     -151     47 o    0   2.79 186.44114 12.66357  8637.70  6102.65  3.96  3.53 -74.4 -0.415    18.36 19.41 02a57206o0020o
57206.293975 18.396507      NaN     -174     53 o    0   1.22 186.44114 12.66357   116.90  5132.28  4.21  3.72  83.3 -0.422    18.25 19.24 02a57206o0031o
57206.294634 18.574166      NaN       -5     45 o    0   2.89 186.44114 12.66357  8635.89  6103.34  3.95  3.54 -82.6 -0.409    18.33 19.33 02a57206o0032o
57408.611772 18.675237      NaN       18     35 o    0   1.34 186.44114 12.66357  3245.34  4687.68  3.73  3.49 -56.0 -0.419    18.92 20.21 02a57408o0664o
57408.644373 18.944322      NaN       -8     32 o    0   1.37 186.44114 12.66357  7200.23  5442.40  3.51  3.22  88.8 -0.441    19.23 20.79 02a57408o0713o
