         MJD         m       dm   uJy  duJy F  err   chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs
57400.613242 19.287255      NaN    16    18 c    0    1.30 186.44456 12.66691  2698.34  5130.86 4.03 3.69 -53.2 -0.392    19.72 21.79 02a57400o0627c
57400.624477 19.454622 0.361912    60    20 c    0    1.39 186.44456 12.66691  2378.23  4537.39 4.32 3.87 -45.0 -0.386    19.69 21.83 02a57400o0644c
57400.652534 19.351140      NaN    15    17 c    0    1.64 186.44456 12.66691  7366.94  4764.58 3.69 3.49  83.3 -0.395    19.76 21.85 02a57400o0681c
57400.657293 19.631075      NaN    -2    17 c    0    1.31 186.44456 12.66691  7072.36  6509.83 3.70 3.46  85.7 -0.401    19.73 21.80 02a57400o0686c
57401.613911 19.155932      NaN    25    18 c    0    1.64 186.44456 12.66691  2683.58  5254.63 3.85 3.55 -57.5 -0.411    19.71 21.70 02a57401o0648c
57401.623243 18.955691      NaN    44    17 c    0    1.66 186.44456 12.66691  2377.24  4673.37 4.00 3.61 -45.8 -0.406    19.72 21.71 02a57401o0663c
57401.659813 19.351140      NaN     9    19 c    0    1.19 186.44456 12.66691  7185.15  6613.78 3.56 3.29  86.9 -0.420    19.70 21.62 02a57401o0710c
57436.385723 18.053859      NaN    86    44 c    0    1.04 186.44456 12.66691  3474.95  4844.18 4.32 3.96 -17.8 -0.371    18.37 19.52 02a57436o0284c
57436.399328 18.249822      NaN    62    40 c    0    1.24 186.44456 12.66691  3753.86  5428.42 4.19 4.00 -28.3 -0.365    18.47 19.66 02a57436o0307c
57436.412962 18.389700      NaN    34    42 c    0    1.12 186.44456 12.66691  2598.18  6005.95 4.24 3.87 -18.8 -0.381    18.53 19.73 02a57436o0330c
57436.426564 18.702047      NaN   -34    40 c    0    1.21 186.44456 12.66691  2335.01  5812.60 4.08 3.82 -52.7 -0.400    18.61 19.79 02a57436o0353c
57452.556641 19.454622      NaN    12    16 c    0    1.79 186.44456 12.66691  7286.50  6224.92 3.72 3.39  83.5 -0.419    19.69 21.68 02a57452o0589c
57452.578980 19.226921      NaN    11    21 c    0    1.11 186.44456 12.66691  7002.52  5644.45 3.68 3.44  83.0 -0.413    19.68 21.66 02a57452o0632c
57452.601243 18.857417      NaN    41    21 c    0    1.12 186.44456 12.66691  8174.30  5075.14 3.74 3.42  79.0 -0.429    19.60 21.50 02a57452o0675c
57452.623723 18.796518      NaN    47    21 c    0    0.92 186.44456 12.66691  8291.74  4865.89 3.76 3.46  74.2 -0.431    19.52 21.37 02a57452o0718c
57460.530352 18.776955      NaN    52    20 c    0    1.26 186.44456 12.66691  7437.02  6010.61 3.74 3.56  71.3 -0.439    19.59 21.52 02a57460o0639c
57460.553859 19.183773      NaN    17    20 c    0    0.98 186.44456 12.66691  7132.63  5430.85 3.69 3.45  81.7 -0.421    19.60 21.51 02a57460o0682c
