         MJD         m       dm   uJy  duJy F  err  chi/N        RA     Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs
57400.613242 19.549093      NaN     4    17 c    0   1.34 186.44114 12.6683  2691.88  5128.12 4.03 3.69 -53.1 -0.393    19.72 21.79 02a57400o0627c
57400.624477 19.436675      NaN     1    20 c    0   1.15 186.44114 12.6683  2371.76  4534.64 4.33 3.87 -45.0 -0.386    19.69 21.83 02a57400o0644c
57400.652534 19.401649      NaN    15    16 c    0   1.22 186.44114 12.6683  7373.39  4767.31 3.69 3.49  83.3 -0.395    19.76 21.85 02a57400o0681c
57400.657293 19.287255      NaN    22    16 c    0   1.17 186.44114 12.6683  7078.82  6512.56 3.70 3.46  85.7 -0.401    19.73 21.80 02a57400o0686c
57401.613911 19.696897      NaN    -4    16 c    0   1.42 186.44114 12.6683  2677.12  5251.89 3.85 3.55 -57.5 -0.411    19.71 21.70 02a57401o0648c
57401.623243 19.302877      NaN    21    16 c    0   1.48 186.44114 12.6683  2370.77  4670.62 4.00 3.61 -45.8 -0.406    19.72 21.71 02a57401o0663c
57401.659813 19.569016      NaN     0    18 c    0   0.97 186.44114 12.6683  7191.61  6616.52 3.56 3.29  86.9 -0.420    19.70 21.62 02a57401o0710c
57436.385723 18.623526      NaN   -34    43 c    0   1.01 186.44114 12.6683  3468.50  4841.46 4.32 3.96 -17.8 -0.371    18.37 19.52 02a57436o0284c
57436.399328 18.675237      NaN   -44    41 c    0   1.07 186.44114 12.6683  3747.42  5425.71 4.19 4.00 -28.3 -0.365    18.47 19.66 02a57436o0307c
57436.412962 18.816441      NaN    -3    36 c    0   1.27 186.44114 12.6683  2591.72  6003.22 4.24 3.87 -18.8 -0.381    18.53 19.73 02a57436o0330c
57436.426564 18.757738      NaN    -8    38 c    0   1.35 186.44114 12.6683  2328.55  5809.86 4.09 3.82 -52.7 -0.400    18.61 19.79 02a57436o0353c
57452.556641 19.183773      NaN    32    15 c    0   1.13 186.44114 12.6683  7292.96  6227.66 3.72 3.38  83.5 -0.419    19.69 21.68 02a57452o0589c
57452.578980 19.038793      NaN    25    21 c    0   0.78 186.44114 12.6683  7008.97  5647.18 3.68 3.44  83.0 -0.413    19.68 21.66 02a57452o0632c
57452.601243 19.318728      NaN    11    19 c    0   1.07 186.44114 12.6683  8180.76  5077.89 3.74 3.42  79.0 -0.429    19.60 21.50 02a57452o0675c
57452.623723 19.454622      NaN   -12    20 c    0   0.92 186.44114 12.6683  8298.20  4868.64 3.76 3.46  74.2 -0.432    19.52 21.37 02a57452o0718c
57460.530352 19.318728      NaN    14    18 c    0   1.04 186.44114 12.6683  7443.47  6013.35 3.74 3.56  71.3 -0.439    19.59 21.52 02a57460o0639c
57460.553859 19.454622      NaN     3    19 c    0   0.98 186.44114 12.6683  7139.08  5433.58 3.69 3.45  81.7 -0.421    19.60 21.51 02a57460o0682c
57460.577582 19.367717      NaN     8    19 c    0   1.00 186.44114 12.6683  8314.23  4863.86 3.79 3.49  73.4 -0.434    19.59 21.50 02a57460o0725c
57460.599887 19.454622      NaN    -2    20 c    0   1.11 186.44114 12.6683  8295.23  4866.93 3.84 3.53  69.8 -0.428    19.52 21.39 02a57460o0768c
57480.487357 19.696897      NaN    -5    16 c    0   1.19 186.44114 12.6683  7144.61  6061.42 3.74 3.56  74.6 -0.426    19.63 21.61 02a57480o0556c
