         MJD         m       dm      uJy   duJy F  err  chi/N        RA     Dec        x        y   maj   min   phi  apfit  mag5sig   Sky            Obs
57205.272537 18.504094      NaN      -66     48 o    0   1.09 186.44114 12.6683   141.08  5145.00  3.98  3.69 -86.4 -0.431    18.28 19.15 02a57205o0017o
57205.273313 18.356290      NaN      -94     55 o    0   1.43 186.44114 12.6683  8660.15  6115.26  4.03  3.46 -88.4 -0.414    18.32 19.24 02a57205o0018o
57205.281246 17.990970      NaN       63     56 o    0   0.92 186.44114 12.6683   137.96  5144.12  3.95  3.63 -80.8 -0.425    18.27 19.10 02a57205o0029o
57205.281906 18.417189      NaN      -10     52 o    0   1.59 186.44114 12.6683  8657.21  6114.66  3.97  3.44 -89.4 -0.429    18.30 19.20 02a57205o0030o
57206.277034 18.048890      NaN       69     50 o    0   1.17 186.44114 12.6683   119.75  5139.86  4.73  3.70 -47.1 -0.423    18.29 19.39 02a57206o0007o
57206.277692 18.125925      NaN       30     58 o    0   1.20 186.44114 12.6683  8639.50  6110.33  4.47  3.65 -86.5 -0.463    18.32 19.47 02a57206o0008o
57206.285521 18.417189      NaN      -21     52 o    0   1.04 186.44114 12.6683   119.23  5140.75  4.79  3.73 -50.3 -0.419    18.21 19.28 02a57206o0019o
57206.286221 18.323878      NaN       11     53 o    0   0.94 186.44114 12.6683  8637.63  6111.82  3.96  3.53 -74.3 -0.415    18.36 19.41 02a57206o0020o
57206.293975 17.909502      NaN       99     50 o    0   1.14 186.44114 12.6683   116.98  5141.48  4.21  3.72  83.3 -0.422    18.25 19.24 02a57206o0031o
57206.294634 18.280067      NaN        9     56 o    0   0.86 186.44114 12.6683  8635.83  6112.51  3.95  3.54 -82.6 -0.409    18.33 19.33 02a57206o0032o
57408.611772 18.878500      NaN      -18     34 o    0   0.85 186.44114 12.6683  3245.40  4678.53  3.73  3.49 -55.8 -0.419    18.92 20.21 02a57408o0664o
57408.644373 18.878500      NaN        3     33 o    0   0.56 186.44114 12.6683  7200.18  5451.55  3.51  3.22  88.8 -0.441    19.23 20.79 02a57408o0713o
57408.657828 18.431198      NaN       58     32 o    0   0.61 186.44114 12.6683  8066.89  6618.38  3.51  3.09  89.5 -0.463    19.22 20.77 02a57408o0735o
57408.666682 18.944322      NaN      -53     32 o    0   0.82 186.44114 12.6683  8371.08  4879.53  3.49  3.13  88.0 -0.458    19.11 20.55 02a57408o0749o
57445.563694 18.757738      NaN        9     35 o    0   0.93 186.44114 12.6683  7167.55  6130.75  3.53  3.03  89.6 -0.474    18.71 19.75 02a57445o0698o
57445.586278 18.243872      NaN       24     53 o    0   0.42 186.44114 12.6683  6865.52  5551.88  3.49  3.15  89.3 -0.474    18.70 19.74 02a57445o0739o
57445.608905 18.757738      NaN      -35     38 o    0   0.81 186.44114 12.6683  8035.74  4981.70  3.60  3.19  82.4 -0.466    18.65 19.65 02a57445o0780o
57445.632046 18.729535      NaN      -23     39 o    0   1.00 186.44114 12.6683  8301.66  4870.18  3.69  3.24  81.4 -0.476    18.59 19.57 02a57445o0821o
57464.507958 18.693037      NaN       28     31 o    0   0.74 186.44114 12.6683  7203.42  5731.56  3.75  3.22  87.2 -0.455    19.05 20.64 02a57464o0603o
57464.530868 18.311179      NaN       58     38 o    0   0.65 186.44114 12.6683  6918.50  5151.16  3.62  3.31 -88.0 -0.472    19.26 21.00 02a57464o0646o
57464.553603 18.317510      NaN       66     35 o    0   0.61 186.44114 12.6683  8070.62  4580.22  3.80  3.39  80.1 -0.454    19.24 20.98 02a57464o0689o
57464.575983 18.615142 0.267258      130     32 o    0   0.78 186.44114 12.6683  8298.31  4856.39  3.86  3.46  77.9 -0.455    19.14 20.85 02a57464o0732o
57472.511181 18.039019      NaN       50     57 o    0   0.80 186.44114 12.6683  7252.68  6085.52  3.63  2.92  88.8 -0.494    18.15 18.77 02a57472o0569o
57472.531700 18.110074      NaN       -7     69 o    0   0.77 186.44114 12.6683  6953.81  5505.30  3.58  3.10 -88.8 -0.468    18.13 18.75 02a57472o0604o
57472.552664 18.298627      NaN      -28     58 o    0   0.93 186.44114 12.6683  8131.86  4934.58  3.78  3.31  82.2 -0.469    18.05 18.65 02a57472o0638o
57472.569083 17.805624      NaN      112     54 o    0   1.31 186.44114 12.6683  8288.80  4861.17  3.80  3.27  84.6 -0.479    18.02 18.61 02a57472o0663o
57476.483631 18.910912      NaN      -16     33 o    0   0.68 186.44114 12.6683  7524.07  5758.50  3.69  3.19  86.4 -0.469    18.95 20.36 02a57476o0538o
57476.505731 18.534680      NaN       32     36 o    0   0.69 186.44114 12.6683  7220.40  5178.11  3.87  3.66  79.5 -0.438    18.85 20.32 02a57476o0581o
57476.527901 18.208845      NaN       84     35 o    0   0.95 186.44114 12.6683  8396.24  4607.26  3.79  3.40  73.2 -0.471    18.91 20.28 02a57476o0624o
57476.550240 17.981610      NaN      113     40 o    0   0.86 186.44114 12.6683  8281.39  4861.11  4.64  4.11  21.3 -0.391    18.60 20.12 02a57476o0667o
57493.413817 18.574166      NaN       36     33 o    0   1.00 186.44114 12.6683  7351.57  5825.90  3.69  3.32  83.2 -0.464    18.86 20.16 02a57493o0393o
57493.418365 18.526952      NaN       54     29 o    0   0.95 186.44114 12.6683  7071.28  5242.01  3.66  3.36  87.1 -0.458    18.84 20.13 02a57493o0402o
57493.438574 18.255804      NaN       49     44 o    0   0.64 186.44114 12.6683  8228.52  4667.74  3.72  3.21  81.5 -0.458    18.84 20.09 02a57493o0443o
57493.463760 18.073966      NaN       97     39 o    0   0.74 186.44114 12.6683  8289.88  4851.23  3.82  3.34  83.7 -0.452    18.82 20.09 02a57493o0493o
57495.329271 17.949472      NaN       96     48 o    0   1.03 186.44114 12.6683  2907.87  4837.94  3.89  3.42 -41.6 -0.491    18.41 19.30 02a57495o0227o
57495.341376 18.323878      NaN       29     47 o    0   0.96 186.44114 12.6683  2925.94  4873.27  3.87  3.43 -49.5 -0.497    18.42 19.32 02a57495o0250o
57495.360512 18.152867      NaN       64     45 o    0   1.15 186.44114 12.6683  2866.32  4794.65  4.27  3.74 -51.0 -0.458    18.22 19.22 02a57495o0286o
57495.360990 17.805624      NaN      121     51 o    0   0.79 186.44114 12.6683  2866.39  4794.72  4.16  3.79 -46.7 -0.456    18.34 19.34 02a57495o0287o
57495.374332 18.504094      NaN      -19     48 o    0   0.77 186.44114 12.6683  2847.03  4913.29  3.91  3.44 -45.6 -0.491    18.41 19.30 02a57495o0314o
57500.474076 18.094452      NaN      -66     70 o    0   1.67 186.44114 12.6683  7655.11  5728.26  3.79  2.99  87.7 -0.507    17.81 18.19 02a57500o0496o
57500.493900 17.373350      NaN      141     89 o    0   0.92 186.44114 12.6683  7638.80  5689.40  3.74  3.02  87.2 -0.488    17.82 18.18 02a57500o0535o
57500.518245 17.858399      NaN      -64     87 o    0   1.21 186.44114 12.6683  7695.43  5766.44  3.84  3.10  86.8 -0.485    17.75 18.13 02a57500o0578o
57500.534825 17.378685      NaN      115     97 o    0   1.00 186.44114 12.6683  7712.41  5650.78  3.89  3.22  85.0 -0.502    17.69 18.05 02a57500o0612o
57506.428188 18.438271      NaN       66     29 o    0   0.96 186.44114 12.6683  7659.46  5726.97  3.93  3.43  84.8 -0.457    18.92 20.38 02a57506o0399o
57506.446843 18.867907      NaN        7     32 o    0   1.16 186.44114 12.6683  7701.05  5689.84  4.03  3.60  85.9 -0.452    18.79 20.19 02a57506o0435o
57506.465182 18.467034      NaN       35     38 o    0   0.98 186.44114 12.6683  7643.85  5670.78  4.06  3.70  83.4 -0.449    18.73 20.11 02a57506o0471o
57506.483351 18.232071      NaN       62     41 o    0   0.94 186.44114 12.6683  7717.88  5749.78  4.04  3.62  84.9 -0.451    18.67 20.02 02a57506o0507o
57506.501552 18.349730      NaN       28     46 o    0   1.01 186.44114 12.6683  7622.81  5767.92  4.28  3.99  83.8 -0.436    18.51 19.84 02a57506o0543o
57525.333647 18.158337      NaN       15     61 o    0   0.85 186.44114 12.6683  8698.54  4913.02  4.13  3.48  78.9 -0.474    18.16 18.92 02a57525o0209o
57525.351777 18.376212      NaN      -49     54 o    0   1.15 186.44114 12.6683  8681.84  4881.63  4.09  3.47  79.0 -0.476    18.16 18.91 02a57525o0246o
57525.365475 17.879400      NaN       58     66 o    0   1.15 186.44114 12.6683  8738.54  4960.49  4.00  3.18  83.8 -0.472    17.90 18.64 02a57525o0274o
57525.383917 17.657676      NaN      110     68 o    0   1.01 186.44114 12.6683  8722.63  4904.21  3.94  3.23  84.4 -0.488    17.89 18.59 02a57525o0308o
57562.243811 16.612820      NaN      -62    274 o    0   1.17 186.44114 12.6683  9037.41  7026.96  4.51  3.75  81.2 -0.501    17.47 17.78 02a57562o0025o
57562.247630 17.430723      NaN       45    114 o    0   1.38 186.44114 12.6683  9018.78  6986.21  4.65  3.96  80.4 -0.509    17.94 18.75 02a57562o0032o
57562.254267 18.191747      NaN       51     47 o    0   1.10 186.44114 12.6683  9075.36  7065.50  4.60  3.88  82.0 -0.496    18.61 20.03 02a57562o0044o
57562.263902 18.657725      NaN       23     34 o    0   1.44 186.44114 12.6683  9112.25  6950.08  4.60  3.66  83.7 -0.485    18.98 20.74 02a57562o0062o
57562.274437 18.343209      NaN       68     33 o    0   1.31 186.44114 12.6683  9055.22  7008.25  4.52  3.62  85.1 -0.488    19.04 20.83 02a57562o0081o
57566.243642 16.507180      NaN       -1    302 o    0   1.16 186.44114 12.6683  8834.10  5689.09  4.46  3.82  76.8 -0.478    17.05 17.02 02a57566o0032o
57566.246861 17.444842      NaN       31    117 o    0   1.00 186.44114 12.6683  8817.22  5645.95  4.25  3.53  82.6 -0.507    17.71 18.16 02a57566o0038o
57566.252853 18.280067      NaN       42     45 o    0   0.95 186.44114 12.6683  8873.17  5724.88  4.22  3.47  84.2 -0.478    18.57 19.81 02a57566o0049o
57566.262646 18.396507      NaN       45     38 o    0   0.96 186.44114 12.6683  8892.22  5608.88  4.31  3.51  88.0 -0.488    18.97 20.60 02a57566o0066o
57570.269228 17.954005      NaN       38     67 o    0   1.06 186.44114 12.6683  7836.43  5459.63  4.00  3.25  87.1 -0.518    18.07 19.61 02a57570o0069o
57570.280799 17.613631      NaN      -24    109 o    0   1.12 186.44114 12.6683  7817.04  5419.76  4.00  3.31  86.8 -0.509    17.47 18.93 02a57570o0092o
57570.294994 18.068904      NaN       35     60 o    0   0.87 186.44114 12.6683  7874.95  5496.22  3.96  3.19  88.9 -0.505    18.29 19.84 02a57570o0120o
57570.307762 17.176728      NaN     -118    163 o    0   1.22 186.44114 12.6683  7896.01  5379.06  3.90  3.16  86.7 -0.510    16.89 18.27 02a57570o0145o
57570.320652 15.395207      NaN      396    709 o    0   0.96 186.44114 12.6683  7860.16  5435.74  3.86  3.06  87.0 -0.506    15.54 16.81 02a57570o0170o
57768.637186 18.847027      NaN      -41     35 o    0   1.01 186.44114 12.6683  8436.07  5072.48  3.70  3.34 -88.4 -0.426    18.59 19.47 02a57768o0839o
57768.652736 18.389700      NaN       52     36 o    0   1.03 186.44114 12.6683  8414.38  5033.00  3.71  3.37 -86.7 -0.428    18.58 19.47 02a57768o0868o
57768.669790 18.203116      NaN       67     41 o    0   1.04 186.44114 12.6683  8473.23  5117.36  3.92  3.78   8.3 -0.400    18.46 19.38 02a57768o0898o
57788.606078 18.757738      NaN       39     25 o    0   0.85 186.44114 12.6683  6022.60  7260.91  3.44  3.29  89.2 -0.460    19.55 21.28 02a57788o0755o
57788.619491 19.271854      NaN        2     23 o    0   1.13 186.44114 12.6683  6001.93  7220.69  3.47  3.31  87.9 -0.453    19.52 21.23 02a57788o0781o
57788.640542 18.921935      NaN        8     30 o    0   0.55 186.44114 12.6683  6062.59  7300.00  3.49  3.36 -87.1 -0.448    19.50 21.22 02a57788o0820o
57788.657012 19.256669      NaN      -18     24 o    0   0.81 186.44114 12.6683  6081.49  7181.77  3.46  3.27 -86.5 -0.459    19.47 21.12 02a57788o0850o
57788.674214 18.120615      NaN        7     66 o    0   0.90 186.44114 12.6683  6045.65  7241.10  3.56  3.49  12.7 -0.441    18.37 19.08 02a57788o0879o
57792.603788 18.445391      NaN       59     31 o    0   1.04 186.44114 12.6683  8469.66  4022.78  3.76  3.31  88.1 -0.423    18.88 20.01 02a57792o0015o
57792.626147 18.598565      NaN       24     36 o    0   0.75 186.44114 12.6683  8448.84  3984.27  3.77  3.23  88.6 -0.439    19.16 20.58 02a57792o0052o
57792.643328 18.519279      NaN       31     37 o    0   0.53 186.44114 12.6683  8507.08  4062.37  3.84  3.35  86.3 -0.432    19.23 20.77 02a57792o0080o
57792.661914 18.711133      NaN       17     34 o    0   0.98 186.44114 12.6683  8529.81  3946.83  3.76  3.30  87.6 -0.435    18.96 20.36 02a57792o0109o
