         MJD         m       dm  uJy  duJy F  err   chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs
57400.613242 19.212347      NaN   18    19 c    0    1.04 186.43772 12.66691  2685.39  5130.76 4.03 3.69 -53.1 -0.393    19.72 21.79 02a57400o0627c
57400.624477 18.967180      NaN   40    18 c    0    1.57 186.43772 12.66691  2365.26  4537.27 4.33 3.87 -45.0 -0.386    19.69 21.83 02a57400o0644c
57400.652534 19.472870      NaN   14    15 c    0    1.56 186.43772 12.66691  7379.87  4764.66 3.69 3.49  83.2 -0.395    19.76 21.85 02a57400o0681c
57400.657293 19.696897      NaN   -1    16 c    0    1.26 186.43772 12.66691  7085.29  6509.91 3.70 3.46  85.7 -0.401    19.73 21.80 02a57400o0686c
57401.613911 19.696897      NaN    0    16 c    0    1.38 186.43772 12.66691  2670.63  5254.54 3.86 3.55 -57.5 -0.411    19.71 21.70 02a57401o0648c
57401.623243 18.990530      NaN   41    17 c    0    1.34 186.43772 12.66691  2364.27  4673.25 4.00 3.61 -45.8 -0.406    19.72 21.71 02a57401o0663c
57401.659813 19.510313      NaN   -5    19 c    0    0.91 186.43772 12.66691  7198.09  6613.87 3.56 3.29  86.9 -0.420    19.70 21.62 02a57401o0710c
57436.385723 18.094452      NaN   87    41 c    0    1.13 186.43772 12.66691  3462.03  4844.11 4.32 3.96 -17.9 -0.371    18.37 19.52 02a57436o0284c
57436.399328 18.534680      NaN   17    41 c    0    1.24 186.43772 12.66691  3740.95  5428.37 4.20 4.00 -28.3 -0.365    18.47 19.66 02a57436o0307c
57436.412962 18.243872      NaN   78    35 c    0    1.64 186.43772 12.66691  2585.22  6005.87 4.24 3.87 -18.9 -0.381    18.53 19.73 02a57436o0330c
57436.426564 18.481707      NaN   36    37 c    0    1.43 186.43772 12.66691  2322.05  5812.51 4.09 3.82 -52.7 -0.401    18.61 19.79 02a57436o0353c
57452.556641 19.436675      NaN   13    16 c    0    1.17 186.43772 12.66691  7299.44  6225.01 3.72 3.38  83.4 -0.419    19.69 21.68 02a57452o0589c
57452.578980 18.836735      NaN   46    20 c    0    1.04 186.43772 12.66691  7015.44  5644.53 3.68 3.44  82.9 -0.413    19.68 21.66 02a57452o0632c
57452.601243 19.472870      NaN    8    17 c    0    1.58 186.43772 12.66691  8187.27  5075.25 3.74 3.42  79.0 -0.429    19.60 21.50 02a57452o0675c
57452.623723 19.491430      NaN    4    18 c    0    1.18 186.43772 12.66691  8304.71  4866.00 3.76 3.46  74.1 -0.432    19.52 21.37 02a57452o0718c
57460.530352 19.569016      NaN  -10    18 c    0    1.29 186.43772 12.66691  7449.96  6010.70 3.74 3.56  71.3 -0.439    19.59 21.52 02a57460o0639c
57460.553859 19.454622      NaN  -20    20 c    0    0.71 186.43772 12.66691  7145.56  5430.93 3.69 3.45  81.6 -0.421    19.60 21.51 02a57460o0682c
57460.577582 19.051202      NaN   24    21 c    0    0.92 186.43772 12.66691  8320.75  4861.22 3.79 3.49  73.4 -0.434    19.59 21.50 02a57460o0725c
57460.599887 19.454622      NaN  -22    20 c    0    1.24 186.43772 12.66691  8301.74  4864.29 3.84 3.53  69.8 -0.428    19.52 21.39 02a57460o0768c
57480.487357 19.454622      NaN   12    16 c    0    1.50 186.43772 12.66691  7151.09  6058.78 3.74 3.56  74.6 -0.426    19.63 21.61 02a57480o0556c
57480.510927 19.302877      NaN   18    17 c    0    1.36 186.43772 12.66691  6845.64  5480.68 3.68 3.46  86.4 -0.417    19.59 21.49 02a57480o0601c
57480.534316 19.454622      NaN   -9    20 c    0    1.39 186.43772 12.66691  8020.56  4911.28 3.77 3.46  76.2 -0.428    19.41 21.16 02a57480o0646c
57480.557573 19.302877      NaN   -9    23 c    0    0.96 186.43772 12.66691  8287.68  4858.31 3.78 3.45  74.1 -0.442    19.31 20.97 02a57480o0691c
57490.415473 19.142275      NaN   26    18 c    0    1.55 186.43772 12.66691  7184.86  5898.03 5.11 4.02   1.7 -0.340    19.43 21.65 02a57490o0457c
57490.433011 19.454622      NaN    9    17 c    0    1.36 186.43772 12.66691  6902.80  5319.55 3.79 3.56  83.5 -0.389    19.65 21.66 02a57490o0487c
57490.452115 19.510313      NaN    6    17 c    0    1.33 186.43772 12.66691  8053.74  4749.20 3.86 3.65  72.1 -0.393    19.59 21.58 02a57490o0519c
57490.471021 19.569016      NaN   -1    18 c    0    1.36 186.43772 12.66691  8296.67  4849.34 3.79 3.47  81.4 -0.411    19.59 21.51 02a57490o0550c
57491.409300 18.623526      NaN   24    35 c    0    1.40 186.43772 12.66691  7605.13  5920.24 6.91 4.53   0.4 -0.367    18.61 20.72 02a57491o0366c
57491.427855 17.116274      NaN   73   148 c    0    1.35 186.43772 12.66691  7299.89  5341.79 5.45 4.49  -0.6 -0.361    17.23 19.18 02a57491o0397c
57491.449734 18.702047      NaN   42    26 c    0    1.16 186.43772 12.66691  8477.43  4765.97 4.34 4.08  73.3 -0.386    19.18 21.18 02a57491o0434c
57491.465836 18.640491      NaN   43    28 c    0    0.91 186.43772 12.66691  8297.09  4848.08 4.40 4.14  74.6 -0.380    19.15 21.14 02a57491o0461c
57510.430528 19.287255 0.310210   70    20 c    0    1.82 186.43772 12.66691  7666.83  5725.76 4.32 4.05  80.0 -0.387    19.42 21.48 02a57510o0421c
57510.449623 19.334813      NaN    1    22 c    0    1.58 186.43772 12.66691  7707.16  5688.18 4.58 4.35  80.7 -0.364    19.29 21.42 02a57510o0458c
57510.468028 18.900000      NaN   43    19 c    0    1.61 186.43772 12.66691  7650.49  5668.76 4.04 3.79  81.0 -0.410    19.41 21.40 02a57510o0494c
57510.485858 19.026525      NaN   17    24 c    0    1.14 186.43772 12.66691  7725.42  5748.03 4.06 3.79  81.5 -0.416    19.34 21.30 02a57510o0529c
57510.502461 19.351140      NaN  -15    22 c    0    1.20 186.43772 12.66691  7630.69  5766.58 4.13 3.93  80.7 -0.402    19.24 21.18 02a57510o0562c
57537.326391 19.401649      NaN    0    21 c    0    1.49 186.43772 12.66691  6441.41  5905.35 4.07 3.63 -87.0 -0.457    19.52 21.55 02a57537o0204c
57537.337604 18.910912      NaN   33    22 c    0    1.07 186.43772 12.66691  6422.83  5866.92 4.04 3.64 -86.5 -0.462    19.51 21.53 02a57537o0226c
57537.348791 18.836735      NaN   34    24 c    0    0.95 186.43772 12.66691  6499.74  5943.11 3.98 3.57 -87.2 -0.455    19.51 21.50 02a57537o0244c
57537.360186 18.889197      NaN   38    21 c    0    1.21 186.43772 12.66691  6518.10  5827.12 4.01 3.60 -85.5 -0.441    19.50 21.49 02a57537o0262c
57537.371576 19.334813      NaN    1    22 c    0    1.05 186.43772 12.66691  6480.20  5885.09 3.90 3.53 -88.1 -0.439    19.50 21.46 02a57537o0279c
57543.312746 18.878500      NaN   36    22 c    0    0.99 186.43772 12.66691  6453.04  4565.82 4.04 3.82 -89.2 -0.460    19.50 21.52 02a57543o0203c
57543.325844 19.212347      NaN    6    23 c    0    0.92 186.43772 12.66691  6434.66  4527.90 3.97 3.83 -74.4 -0.456    19.50 21.52 02a57543o0227c
57543.353378 19.155932      NaN   22    19 c    0    1.54 186.43772 12.66691  6515.56  4490.26 3.92 3.76 -81.6 -0.448    19.41 21.39 02a57543o0269c
57543.367626 19.256669      NaN  -22    24 c    0    0.91 186.43772 12.66691  6480.99  4547.36 3.83 3.73 -81.3 -0.456    19.37 21.31 02a57543o0291c
57547.305177 18.836735      NaN   46    20 c    0    1.37 186.43772 12.66691  9006.22  4643.66 4.40 3.77  76.8 -0.457    19.51 21.54 02a57547o0142c
57547.317861 18.776955      NaN   46    22 c    0    0.99 186.43772 12.66691  8991.12  4605.36 4.48 3.84  78.5 -0.432    19.51 21.56 02a57547o0165c
57574.262343 19.128787      NaN   -3    27 c    0    1.60 186.43772 12.66691  5941.61  5716.46 4.02 3.65  82.6 -0.475    19.24 21.00 02a57574o0047c
57574.271998 18.558199      NaN   59    26 c    0    0.85 186.43772 12.66691  5922.26  5676.16 3.99 3.59  89.5 -0.462    19.38 21.28 02a57574o0066c
57574.284152 19.076453      NaN   19    22 c    0    1.43 186.43772 12.66691  5978.33  5752.56 3.98 3.61  88.6 -0.466    19.38 21.28 02a57574o0090c
57574.298256 19.002397      NaN   19    24 c    0    1.03 186.43772 12.66691  5997.03  5635.71 3.98 3.69 -85.1 -0.456    19.34 21.24 02a57574o0118c
57574.311130 18.748255      NaN   40    25 c    0    1.32 186.43772 12.66691  5961.29  5692.54 3.94 3.59 -86.4 -0.446    19.32 21.21 02a57574o0143c
57578.256339 18.356290      NaN   45    40 c    0    1.10 186.43772 12.66691  8718.76  5472.21 4.32 3.59  83.9 -0.446    18.71 20.01 02a57578o0035c
