         MJD         m       dm  uJy  duJy F  err  chi/N       RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs
57400.613242 18.933071      NaN   46    17 c    0   1.75 186.4363 12.66357  2682.65  5137.21 4.03 3.69 -53.2 -0.393    19.72 21.79 02a57400o0627c
57400.624477 19.569016      NaN    0    18 c    0   2.03 186.4363 12.66357  2362.52  4543.72 4.33 3.87 -45.1 -0.386    19.69 21.83 02a57400o0644c
57400.652534 19.631075      NaN  -24    17 c    0   1.47 186.4363 12.66357  7382.60  4758.21 3.69 3.49  83.2 -0.395    19.76 21.85 02a57400o0681c
57400.657293 19.696897      NaN  -11    16 c    0   1.76 186.4363 12.66357  7088.01  6503.46 3.70 3.46  85.7 -0.401    19.73 21.80 02a57400o0686c
57401.613911 19.631075      NaN  -14    17 c    0   1.69 186.4363 12.66357  2667.89  5260.98 3.86 3.55 -57.5 -0.411    19.71 21.70 02a57401o0648c
57401.623243 19.491430      NaN   10    16 c    0   2.28 186.4363 12.66357  2361.53  4679.70 4.00 3.61 -45.8 -0.406    19.72 21.71 02a57401o0663c
57401.659813 19.454622      NaN  -12    20 c    0   1.18 186.4363 12.66357  7200.80  6607.42 3.56 3.29  86.9 -0.420    19.70 21.62 02a57401o0710c
57436.385723 18.403357      NaN   29    43 c    0   1.16 186.4363 12.66357  3459.31  4850.56 4.32 3.96 -17.9 -0.371    18.37 19.52 02a57436o0284c
57436.399328 18.459772      NaN   24    42 c    0   1.28 186.4363 12.66357  3738.23  5434.81 4.20 4.00 -28.4 -0.365    18.47 19.66 02a57436o0307c
57436.412962 18.786693      NaN   -8    37 c    0   1.52 186.4363 12.66357  2582.48  6012.32 4.24 3.87 -18.9 -0.381    18.53 19.73 02a57436o0330c
57436.426564 18.786693      NaN -120    37 c    0   1.56 186.4363 12.66357  2319.30  5818.96 4.09 3.82 -52.7 -0.401    18.61 19.79 02a57436o0353c
57452.556641 19.287255      NaN   25    15 c    0   1.59 186.4363 12.66357  7302.16  6218.56 3.72 3.39  83.4 -0.419    19.69 21.68 02a57452o0589c
57452.578980 19.401649 0.327444   63    19 c    0   1.38 186.4363 12.66357  7018.16  5638.08 3.68 3.44  82.9 -0.413    19.68 21.66 02a57452o0632c
57452.601243 19.401649      NaN   12    17 c    0   2.04 186.4363 12.66357  8190.01  5068.80 3.74 3.42  79.0 -0.429    19.60 21.50 02a57452o0675c
57452.623723 19.569016      NaN  -10    18 c    0   1.42 186.4363 12.66357  8307.46  4859.55 3.76 3.46  74.1 -0.432    19.52 21.37 02a57452o0718c
57460.530352 18.933071      NaN   40    19 c    0   1.44 186.4363 12.66357  7452.68  6004.26 3.74 3.56  71.2 -0.439    19.59 21.52 02a57460o0639c
57460.553859 19.510313      NaN   -2    19 c    0   1.24 186.4363 12.66357  7148.28  5424.49 3.69 3.45  81.6 -0.421    19.60 21.51 02a57460o0682c
57460.577582 19.026525      NaN   29    20 c    0   1.29 186.4363 12.66357  8323.50  4854.77 3.79 3.49  73.3 -0.434    19.59 21.50 02a57460o0725c
57460.599887 19.401649      NaN    3    20 c    0   1.31 186.4363 12.66357  8304.49  4857.84 3.84 3.53  69.7 -0.428    19.52 21.39 02a57460o0768c
57480.487357 19.841877      NaN  -24    14 c    0   2.46 186.4363 12.66357  7153.81  6052.33 3.74 3.56  74.5 -0.426    19.63 21.61 02a57480o0556c
57480.510927 19.510313      NaN    6    17 c    0   1.99 186.4363 12.66357  6848.36  5474.24 3.68 3.46  86.4 -0.417    19.59 21.49 02a57480o0601c
