         MJD         m       dm      uJy   duJy F  err    chi/N       RA      Dec        x        y   maj   min   phi  apfit  mag5sig   Sky            Obs
57205.272537 17.736543      NaN      127     55 o    0     1.00 186.4363 12.66357   150.28  5135.73  3.98  3.69 -86.4 -0.431    18.28 19.15 02a57205o0017o
57205.273313 18.311179 0.328246      172     52 o    0     1.86 186.4363 12.66357  8669.41  6106.18  4.03  3.46 -88.4 -0.414    18.32 19.24 02a57205o0018o
57205.281246 18.186107      NaN       37     52 o    0     1.12 186.4363 12.66357   147.16  5134.85  3.95  3.63 -80.8 -0.425    18.27 19.10 02a57205o0029o
57205.281906 17.976960      NaN       45     63 o    0     1.39 186.4363 12.66357  8666.48  6105.58  3.97  3.44 -89.4 -0.429    18.30 19.20 02a57205o0030o
57206.277034 18.323878      NaN       26     48 o    0     1.37 186.4363 12.66357   128.95  5130.59  4.73  3.70 -47.1 -0.423    18.29 19.39 02a57206o0007o
57206.277692 17.905150      NaN       88     54 o    0     2.09 186.4363 12.66357  8648.76  6101.24  4.47  3.65 -86.6 -0.463    18.32 19.47 02a57206o0008o
57206.285521 18.438271      NaN      -66     51 o    0     1.18 186.4363 12.66357   128.44  5131.48  4.79  3.73 -50.3 -0.420    18.21 19.28 02a57206o0019o
57206.286221 18.110074      NaN       48     53 o    0     1.51 186.4363 12.66357  8646.89  6102.74  3.96  3.53 -74.4 -0.414    18.36 19.41 02a57206o0020o
57206.293975 18.459772      NaN      -52     50 o    0     1.27 186.4363 12.66357   126.18  5132.21  4.21  3.72  83.3 -0.422    18.25 19.24 02a57206o0031o
57206.294634 18.550302      NaN      -58     46 o    0     2.24 186.4363 12.66357  8645.09  6103.43  3.95  3.54 -82.6 -0.409    18.33 19.33 02a57206o0032o
57408.611772 18.944322      NaN       -4     32 o    0     1.19 186.4363 12.66357  3236.19  4687.62  3.73  3.49 -55.9 -0.419    18.92 20.21 02a57408o0664o
57408.644373 19.128787      NaN      -28     27 o    0     1.28 186.4363 12.66357  7209.38  5442.45  3.51  3.22  88.8 -0.441    19.23 20.79 02a57408o0713o
57408.657828 19.014394      NaN      -11     30 o    0     1.30 186.4363 12.66357  8076.12  6609.29  3.51  3.09  89.5 -0.462    19.22 20.77 02a57408o0735o
57408.666682 18.878500      NaN      -42     34 o    0     1.15 186.4363 12.66357  8380.34  4870.44  3.49  3.13  88.0 -0.458    19.11 20.55 02a57408o0749o
57445.563694 18.816441      NaN      -13     36 o    0     1.21 186.4363 12.66357  7176.75  6121.65  3.53  3.03  89.6 -0.474    18.71 19.75 02a57445o0698o
57445.586278 18.729535      NaN      -36     39 o    0     0.99 186.4363 12.66357  6874.72  5542.78  3.49  3.15  89.3 -0.474    18.70 19.74 02a57445o0739o
57445.608905 18.757738      NaN      -91     38 o    0     0.91 186.4363 12.66357  8044.99  4972.61  3.60  3.19  82.3 -0.466    18.65 19.65 02a57445o0780o
57445.632046 18.847027      NaN      -10     35 o    0     1.52 186.4363 12.66357  8310.93  4861.09  3.69  3.24  81.3 -0.476    18.59 19.57 02a57445o0821o
57464.507958 18.978793      NaN        6     29 o    0     1.20 186.4363 12.66357  7212.62  5722.47  3.75  3.22  87.1 -0.455    19.05 20.64 02a57464o0603o
57464.530868 18.900000      NaN       10     30 o    0     1.12 186.4363 12.66357  6927.70  5142.06  3.62  3.31 -88.1 -0.472    19.26 21.00 02a57464o0646o
57464.553603 18.978793      NaN        3     30 o    0     1.22 186.4363 12.66357  8079.88  4571.12  3.80  3.39  80.0 -0.454    19.24 20.98 02a57464o0689o
57464.575983 19.089302      NaN      -82     28 o    0     1.33 186.4363 12.66357  8307.57  4847.31  3.86  3.47  77.7 -0.455    19.14 20.85 02a57464o0732o
57472.511181 18.438271      NaN        6     49 o    0     1.38 186.4363 12.66357  7261.88  6076.42  3.63  2.93  88.8 -0.494    18.15 18.77 02a57472o0569o
57472.531700 18.191747      NaN      -22     64 o    0     1.06 186.4363 12.66357  6963.01  5496.21  3.58  3.11 -88.8 -0.468    18.13 18.75 02a57472o0604o
57472.552664 18.396507      NaN     -124     53 o    0     1.42 186.4363 12.66357  8141.12  4925.49  3.78  3.31  82.2 -0.470    18.05 18.65 02a57472o0638o
57472.569083 17.892199      NaN       76     59 o    0     1.22 186.4363 12.66357  8298.06  4852.08  3.81  3.27  84.5 -0.479    18.02 18.61 02a57472o0663o
57476.483631 18.910912      NaN        3     32 o    0     0.95 186.4363 12.66357  7533.29  5749.41  3.69  3.19  86.4 -0.469    18.95 20.36 02a57476o0538o
57476.505731 18.978793      NaN      -63     31 o    0     1.19 186.4363 12.66357  7229.61  5169.02  3.87  3.66  79.3 -0.438    18.85 20.32 02a57476o0581o
57476.527901 18.978793      NaN      -52     31 o    0     1.51 186.4363 12.66357  8405.52  4598.17  3.79  3.40  73.1 -0.471    18.91 20.28 02a57476o0624o
57476.550240 18.847027      NaN     -169     35 o    0     1.51 186.4363 12.66357  8290.65  4852.02  4.64  4.11  21.3 -0.391    18.60 20.12 02a57476o0667o
57493.413817 18.978793      NaN      -76     31 o    0     1.26 186.4363 12.66357  7360.78  5816.80  3.69  3.32  83.2 -0.464    18.86 20.16 02a57493o0393o
57493.418365 18.944322      NaN      -66     32 o    0     1.24 186.4363 12.66357  7080.48  5232.91  3.66  3.36  87.0 -0.458    18.84 20.13 02a57493o0402o
57493.438574 18.757738      NaN      -39     38 o    0     0.79 186.4363 12.66357  8237.78  4658.65  3.72  3.21  81.5 -0.458    18.84 20.09 02a57493o0443o
57493.463760 18.910912      NaN      -38     33 o    0     1.22 186.4363 12.66357  8299.14  4842.14  3.83  3.34  83.6 -0.452    18.82 20.09 02a57493o0493o
57495.329271 18.382935      NaN       14     49 o    0     0.95 186.4363 12.66357  2898.65  4847.03  3.89  3.42 -41.7 -0.490    18.41 19.30 02a57495o0227o
57495.341376 18.526952      NaN      -38     47 o    0     1.07 186.4363 12.66357  2916.72  4882.36  3.87  3.43 -49.6 -0.496    18.42 19.32 02a57495o0250o
57495.360512 18.550302      NaN     -183     46 o    0     1.64 186.4363 12.66357  2857.10  4803.73  4.27  3.74 -51.1 -0.458    18.22 19.22 02a57495o0286o
57495.360990 18.649074      NaN      -95     42 o    0     1.32 186.4363 12.66357  2857.17  4803.81  4.16  3.79 -46.8 -0.456    18.34 19.34 02a57495o0287o
57495.374332 18.186107      NaN       64     43 o    0     1.05 186.4363 12.66357  2837.80  4922.38  3.91  3.44 -45.8 -0.491    18.41 19.30 02a57495o0314o
57500.474076 17.778234      NaN       47     78 o    0     1.27 186.4363 12.66357  7664.34  5719.18  3.79  2.99  87.7 -0.506    17.81 18.19 02a57500o0496o
57500.493900 17.336719      NaN      167     85 o    0     1.28 186.4363 12.66357  7648.02  5680.32  3.74  3.02  87.2 -0.488    17.82 18.18 02a57500o0535o
57500.518245 17.561765      NaN       91     84 o    0     1.44 186.4363 12.66357  7704.66  5757.36  3.84  3.10  86.8 -0.485    17.75 18.13 02a57500o0578o
57500.534825 17.845990      NaN      -55     88 o    0     1.27 186.4363 12.66357  7721.64  5641.70  3.89  3.22  84.9 -0.502    17.69 18.05 02a57500o0612o
57506.428188 19.256669      NaN      -40     24 o    0     2.03 186.4363 12.66357  7668.68  5717.88  3.93  3.43  84.7 -0.457    18.92 20.38 02a57506o0399o
57506.446843 18.786693      NaN      -60     37 o    0     1.06 186.4363 12.66357  7710.27  5680.76  4.04  3.60  85.9 -0.452    18.79 20.19 02a57506o0435o
57506.465182 18.702047      NaN      -76     40 o    0     1.12 186.4363 12.66357  7653.07  5661.69  4.07  3.70  83.3 -0.449    18.73 20.11 02a57506o0471o
57506.483351 18.847027      NaN     -133     35 o    0     1.43 186.4363 12.66357  7727.10  5740.69  4.04  3.62  84.9 -0.451    18.67 20.02 02a57506o0507o
57506.501552 18.623526      NaN     -154     43 o    0     1.13 186.4363 12.66357  7632.03  5758.83  4.28  3.99  83.7 -0.436    18.51 19.84 02a57506o0543o
57525.333647 18.261819      NaN      -37     60 o    0     0.90 186.4363 12.66357  8707.83  4903.94  4.13  3.48  78.9 -0.474    18.16 18.92 02a57525o0209o
57525.351777 18.396507      NaN      -60     53 o    0     1.13 186.4363 12.66357  8691.13  4872.54  4.09  3.47  79.0 -0.476    18.16 18.91 02a57525o0246o
57525.365475 18.058851      NaN       22     65 o    0     1.17 186.4363 12.66357  8747.82  4951.41  4.00  3.18  83.8 -0.472    17.90 18.64 02a57525o0274o
57525.383917 17.506232      NaN      151     70 o    0     1.23 186.4363 12.66357  8731.92  4895.13  3.94  3.23  84.3 -0.488    17.89 18.59 02a57525o0308o
57562.243811 16.454549      NaN      165    262 o    0     1.48 186.4363 12.66357  9046.69  7017.89  4.51  3.75  81.2 -0.501    17.47 17.78 02a57562o0025o
57562.247630 17.613631      NaN      -50    109 o    0     1.65 186.4363 12.66357  9028.06  6977.13  4.65  3.96  80.4 -0.509    17.94 18.75 02a57562o0032o
57562.254267 18.598565      NaN      -91     44 o    0     1.51 186.4363 12.66357  9084.64  7056.42  4.60  3.88  82.0 -0.497    18.61 20.03 02a57562o0044o
57562.263902 18.910912      NaN      -28     33 o    0     1.61 186.4363 12.66357  9121.53  6941.00  4.60  3.66  83.7 -0.485    18.98 20.74 02a57562o0062o
57562.274437 19.014394      NaN      -79     30 o    0     1.91 186.4363 12.66357  9064.50  6999.17  4.52  3.62  85.1 -0.488    19.04 20.83 02a57562o0081o
57566.243642 16.628787      NaN     -114    270 o    0     2.47 186.4363 12.66357  8843.38  5680.01  4.46  3.81  76.8 -0.477    17.05 17.02 02a57566o0032o
57566.246861 17.603715      NaN     -121    110 o    0     1.22 186.4363 12.66357  8826.50  5636.87  4.25  3.53  82.7 -0.508    17.71 18.16 02a57566o0038o
57566.252853 18.649074      NaN      -41     42 o    0     1.15 186.4363 12.66357  8882.46  5715.80  4.23  3.47  84.2 -0.478    18.57 19.81 02a57566o0049o
57566.262646 18.878500      NaN      -49     34 o    0     1.34 186.4363 12.66357  8901.51  5599.80  4.32  3.51  88.0 -0.488    18.97 20.60 02a57566o0066o
57570.269228 17.858399      NaN       60     67 o    0     1.05 186.4363 12.66357  7845.66  5450.54  4.00  3.25  87.1 -0.518    18.07 19.61 02a57570o0069o
57570.280799 17.696393      NaN      -90    101 o    0     1.37 186.4363 12.66357  7826.27  5410.67  4.01  3.31  86.7 -0.509    17.47 18.93 02a57570o0092o
57570.294994 18.376212      NaN      -96     54 o    0     1.20 186.4363 12.66357  7884.19  5487.14  3.96  3.19  88.9 -0.506    18.29 19.84 02a57570o0120o
57570.307762 16.338786      NaN      365    231 o    0     0.58 186.4363 12.66357  7905.25  5369.98  3.90  3.17  86.7 -0.510    16.89 18.27 02a57570o0145o
57570.320652 15.705404      NaN    -1089    632 o    0     1.03 186.4363 12.66357  7869.39  5426.66  3.87  3.06  87.0 -0.506    15.54 16.81 02a57570o0170o
57768.637186 18.757738      NaN      -19     38 o    0     1.36 186.4363 12.66357  8445.33  5063.39  3.71  3.34 -88.4 -0.426    18.59 19.47 02a57768o0839o
57768.652736 18.816441      NaN      -32     36 o    0     1.10 186.4363 12.66357  8423.64  5023.91  3.72  3.37 -86.7 -0.428    18.58 19.47 02a57768o0868o
57768.669790 18.623526      NaN     -128     43 o    0     1.17 186.4363 12.66357  8482.50  5108.28  3.92  3.78   8.4 -0.400    18.46 19.38 02a57768o0898o
57788.606078 19.302877      NaN      -88     23 o    0     1.39 186.4363 12.66357  6031.77  7251.78  3.44  3.29  89.2 -0.460    19.55 21.28 02a57788o0755o
57788.619491 19.076453      NaN       22     21 o    0     1.76 186.4363 12.66357  6011.10  7211.57  3.47  3.31  87.9 -0.453    19.52 21.23 02a57788o0781o
57788.640542 19.038793      NaN       16     24 o    0     1.60 186.4363 12.66357  6071.76  7290.87  3.49  3.36 -87.1 -0.448    19.50 21.22 02a57788o0820o
57788.657012 19.401649      NaN      -29     21 o    0     1.82 186.4363 12.66357  6090.66  7172.64  3.46  3.27 -86.5 -0.459    19.47 21.12 02a57788o0850o
57788.674214 17.963129      NaN       33     68 o    0     1.37 186.4363 12.66357  6054.82  7231.97  3.56  3.49  12.9 -0.441    18.37 19.08 02a57788o0879o
57792.603788 19.089302      NaN       -5     28 o    0     1.51 186.4363 12.66357  8478.95  4013.67  3.76  3.31  88.1 -0.423    18.88 20.01 02a57792o0015o
57792.626147 18.910912      NaN      -45     33 o    0     1.00 186.4363 12.66357  8458.13  3975.17  3.77  3.23  88.6 -0.439    19.16 20.58 02a57792o0052o
57792.643328 19.051202      NaN      -82     29 o    0     1.37 186.4363 12.66357  8516.37  4053.27  3.84  3.35  86.3 -0.432    19.23 20.77 02a57792o0080o
57792.661914 18.910912      NaN      -91     33 o    0     1.38 186.4363 12.66357  8539.10  3937.72  3.76  3.30  87.6 -0.435    18.96 20.36 02a57792o0109o
57800.597794 18.702047      NaN      -37     40 o    0     1.09 186.4363 12.66357  5874.49  6773.21  3.40  3.29 -81.5 -0.474    18.88 19.95 02a57800o0565o
57800.612619 18.649074      NaN     -153     42 o    0     0.87 186.4363 12.66357  5855.80  6732.57  3.36  3.23 -75.6 -0.477    18.93 20.03 02a57800o0590o
57800.629152 18.424171      NaN       50     35 o    0     1.23 186.4363 12.66357  5913.77  6809.18  3.48  3.35 -82.8 -0.461    18.89 20.00 02a57800o0623o
57800.645249 18.786693      NaN      -66     37 o    0     1.23 186.4363 12.66357  5936.23  6692.61  3.68  3.57   9.0 -0.421    18.79 19.94 02a57800o0655o
57804.618801 16.467180      NaN      460    160 o    0     0.92 186.4363 12.66357  4075.61  3111.28  4.21  4.02 -84.4 -0.621    17.46 18.85 01a57804o0667o
57804.633190 17.664614      NaN      -55    104 o    0     0.99 186.4363 12.66357  4096.99  3149.84  4.25  4.06 -80.3 -0.607    17.84 19.32 01a57804o0695o
57804.646562 17.821591      NaN     -470     90 o    0     1.07 186.4363 12.66357  4040.42  3072.65  4.04  3.86 -75.7 -0.659    18.05 19.55 01a57804o0721o
57804.661034 14.874947      NaN    -1977   1358 o    0     1.09 186.4363 12.66357  4023.53  3187.52  4.22  4.02 -77.2 -0.673    15.42 16.31 01a57804o0749o
57806.612514 18.786693      NaN      -67     37 o    0     1.83 186.4363 12.66357  2868.00  4708.71  4.39  4.11 -78.0 -0.536    18.80 20.60 01a57806o0775o
57806.626380 18.847027      NaN      -42     35 o    0     2.17 186.4363 12.66357  2889.49  4746.67  4.39  4.12 -78.9 -0.535    18.78 20.57 01a57806o0802o
57806.640082 18.729535      NaN     -108     39 o    0     1.71 186.4363 12.66357  2832.18  4669.47  4.41  4.14 -79.7 -0.518    18.77 20.55 01a57806o0829o
57806.653942 18.598565      NaN     -105     44 o    0     1.65 186.4363 12.66357  2813.55  4784.92  4.57  4.38 -79.0 -0.531    18.62 20.38 01a57806o0856o
57808.622139 18.757738      NaN     -134     38 o    0     1.90 186.4363 12.66357  1840.60  4191.29  4.94  4.60 -79.3 -0.488    18.75 20.74 01a57808o0695o
