         MJD         m       dm   uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs
57400.613242 19.569016      NaN     3    17 c    0   2.02 186.44114 12.65885  2691.74  5146.41 4.03 3.69 -53.3 -0.393    19.72 21.79 02a57400o0627c
57400.624477 19.631075      NaN    -8    17 c    0   2.18 186.44114 12.65885  2371.63  4552.94 4.32 3.87 -45.2 -0.386    19.69 21.83 02a57400o0644c
57400.652534 19.841877      NaN   -21    14 c    0   3.20 186.44114 12.65885  7373.51  4749.03 3.69 3.49  83.2 -0.395    19.76 21.85 02a57400o0681c
57400.657293 19.631075      NaN     6    15 c    0   2.53 186.44114 12.65885  7078.90  6494.27 3.70 3.46  85.7 -0.401    19.73 21.80 02a57400o0686c
57401.613911 19.631075      NaN   -46    17 c    0   1.78 186.44114 12.65885  2676.98  5270.19 3.85 3.55 -57.7 -0.411    19.71 21.70 02a57401o0648c
57401.623243 19.569016      NaN   -70    18 c    0   1.78 186.44114 12.65885  2370.63  4688.92 4.00 3.61 -46.0 -0.406    19.72 21.71 02a57401o0663c
57401.659813 19.510313      NaN    -4    19 c    0   1.73 186.44114 12.65885  7191.69  6598.21 3.56 3.29  86.9 -0.419    19.70 21.62 02a57401o0710c
57436.385723 18.702047      NaN   -16    40 c    0   1.53 186.44114 12.65885  3468.41  4859.74 4.32 3.96 -17.9 -0.371    18.37 19.52 02a57436o0284c
57436.399328 18.186107      NaN    61    44 c    0   1.51 186.44114 12.65885  3747.33  5443.98 4.19 4.00 -28.5 -0.365    18.47 19.66 02a57436o0307c
57436.412962 18.816441      NaN   -68    36 c    0   1.67 186.44114 12.65885  2591.57  6021.52 4.24 3.87 -18.9 -0.381    18.53 19.73 02a57436o0330c
57436.426564 18.757738      NaN    -2    38 c    0   1.52 186.44114 12.65885  2328.39  5828.16 4.08 3.82 -52.8 -0.400    18.61 19.79 02a57436o0353c
57452.556641 19.766969      NaN   -51    15 c    0   2.35 186.44114 12.65885  7293.06  6209.36 3.72 3.39  83.4 -0.419    19.69 21.68 02a57452o0589c
57452.578980 18.867907      NaN    46    19 c    0   1.34 186.44114 12.65885  7009.07  5628.90 3.68 3.44  82.9 -0.413    19.68 21.66 02a57452o0632c
57452.601243 19.401649      NaN   -11    21 c    0   1.52 186.44114 12.65885  8180.92  5059.59 3.74 3.42  78.9 -0.429    19.60 21.50 02a57452o0675c
57452.623723 19.569016      NaN   -30    18 c    0   1.76 186.44114 12.65885  8298.36  4850.34 3.76 3.47  74.0 -0.432    19.52 21.37 02a57452o0718c
57460.530352 19.454622      NaN    -1    20 c    0   1.38 186.44114 12.65885  7443.58  5995.05 3.74 3.56  71.1 -0.439    19.59 21.52 02a57460o0639c
57460.553859 19.384550      NaN     7    19 c    0   1.41 186.44114 12.65885  7139.19  5415.30 3.69 3.45  81.6 -0.421    19.60 21.51 02a57460o0682c
57460.577582 19.569016      NaN   -40    18 c    0   1.79 186.44114 12.65885  8314.40  4845.55 3.79 3.49  73.2 -0.434    19.59 21.50 02a57460o0725c
57460.599887 19.351140      NaN   -56    22 c    0   1.42 186.44114 12.65885  8295.39  4848.62 3.84 3.53  69.6 -0.428    19.52 21.39 02a57460o0768c
57480.487357 19.569016      NaN   -66    18 c    0   2.21 186.44114 12.65885  7144.71  6043.13 3.74 3.56  74.4 -0.426    19.63 21.61 02a57480o0556c
57480.510927 18.847027      NaN    48    19 c    0   1.89 186.44114 12.65885  6839.27  5465.06 3.68 3.46  86.4 -0.417    19.59 21.49 02a57480o0601c
57480.534316 19.401649      NaN   -15    21 c    0   1.61 186.44114 12.65885  8014.22  4895.63 3.77 3.47  76.1 -0.428    19.41 21.16 02a57480o0646c
57480.557573 18.767304      NaN    47    22 c    0   1.64 186.44114 12.65885  8281.34  4842.65 3.78 3.45  73.9 -0.442    19.31 20.97 02a57480o0691c
57490.415473 19.510313      NaN    -5    19 c    0   1.84 186.44114 12.65885  7178.48  5882.39 5.11 4.02   1.7 -0.340    19.43 21.65 02a57490o0457c
57490.433011 19.384550      NaN    13    17 c    0   1.95 186.44114 12.65885  6896.42  5303.93 3.79 3.56  83.5 -0.389    19.65 21.66 02a57490o0487c
57490.452115 19.631075      NaN     3    16 c    0   1.99 186.44114 12.65885  8047.39  4733.54 3.86 3.65  71.9 -0.393    19.59 21.58 02a57490o0519c
57490.471021 19.226921      NaN    17    19 c    0   1.35 186.44114 12.65885  8290.32  4833.67 3.79 3.47  81.3 -0.411    19.59 21.51 02a57490o0550c
57491.409300 18.878500      NaN    -8    34 c    0   1.71 186.44114 12.65885  7598.75  5904.58 6.91 4.53   0.4 -0.365    18.61 20.72 02a57491o0366c
57491.427855 17.288904      NaN   -44   147 c    0   1.37 186.44114 12.65885  7293.52  5326.15 5.45 4.49  -0.7 -0.360    17.23 19.18 02a57491o0397c
57491.449734 19.169763      NaN     6    24 c    0   1.64 186.44114 12.65885  8471.08  4750.29 4.34 4.08  73.1 -0.386    19.18 21.18 02a57491o0434c
57491.465836 19.241693      NaN     1    24 c    0   2.10 186.44114 12.65885  8290.75  4832.41 4.40 4.14  74.4 -0.380    19.15 21.14 02a57491o0461c
57510.430528 19.454622      NaN   -67    20 c    0   2.13 186.44114 12.65885  7660.46  5710.11 4.32 4.05  79.9 -0.387    19.42 21.48 02a57510o0421c
57510.449623 19.241693 0.327208    73    22 c    0   2.34 186.44114 12.65885  7700.80  5672.53 4.57 4.35  80.7 -0.364    19.29 21.42 02a57510o0458c
57510.468028 19.454622      NaN   -10    20 c    0   2.13 186.44114 12.65885  7644.12  5653.10 4.04 3.79  81.0 -0.410    19.41 21.40 02a57510o0494c
