         MJD         m       dm      uJy   duJy F  err   chi/N        RA      Dec        x        y   maj   min   phi  apfit  mag5sig   Sky            Obs
57205.272537 18.504094      NaN      -94     48 o    0    1.80 186.44598 12.66357   131.72  5135.88  3.98  3.69 -86.5 -0.431    18.28 19.15 02a57205o0017o
57205.273313 18.232071      NaN       11     58 o    0    2.18 186.44598 12.66357  8651.02  6105.99  4.03  3.46 -88.4 -0.414    18.32 19.24 02a57205o0018o
57205.281246 18.526952      NaN     -331     47 o    0    1.89 186.44598 12.66357   128.60  5135.00  3.95  3.63 -80.8 -0.424    18.27 19.10 02a57205o0029o
57205.281906 18.298627      NaN     -110     58 o    0    2.60 186.44598 12.66357  8648.09  6105.40  3.97  3.44 -89.4 -0.428    18.30 19.20 02a57205o0030o
57206.277034 17.976960      NaN     -280     78 o    0    0.68 186.44598 12.66357   110.38  5130.74  4.74  3.71 -47.1 -0.422    18.29 19.39 02a57206o0007o
57206.277692 18.376212      NaN     -206     54 o    0    2.37 186.44598 12.66357  8630.37  6101.06  4.46  3.64 -86.5 -0.463    18.32 19.47 02a57206o0008o
57206.285521 17.935984      NaN     -109     81 o    0    0.65 186.44598 12.66357   109.87  5131.63  4.80  3.74 -50.3 -0.419    18.21 19.28 02a57206o0019o
57206.286221 18.623526      NaN     -146     43 o    0    3.03 186.44598 12.66357  8628.51  6102.56  3.96  3.53 -74.3 -0.415    18.36 19.41 02a57206o0020o
57206.293975 18.243872      NaN     -180     61 o    0    1.22 186.44598 12.66357   107.62  5132.36  4.21  3.72  83.3 -0.422    18.25 19.24 02a57206o0031o
57206.294634 18.550302      NaN      -75     46 o    0    2.67 186.44598 12.66357  8626.70  6103.25  3.95  3.54 -82.6 -0.409    18.33 19.33 02a57206o0032o
57408.611772 18.944322      NaN     -225     32 o    0    1.81 186.44598 12.66357  3254.49  4687.74  3.73  3.49 -56.0 -0.419    18.92 20.21 02a57408o0664o
57408.644373 19.128787      NaN      -92     27 o    0    3.46 186.44598 12.66357  7191.08  5442.34  3.51  3.22  88.8 -0.441    19.23 20.79 02a57408o0713o
57408.657828 18.816441      NaN      -25     36 o    0    1.75 186.44598 12.66357  8057.77  6609.13  3.50  3.09  89.5 -0.463    19.22 20.77 02a57408o0735o
57408.666682 18.738855      NaN       17     33 o    0    1.88 186.44598 12.66357  8361.97  4870.30  3.49  3.13  88.0 -0.458    19.11 20.55 02a57408o0749o
57445.563694 18.261819      NaN       78     34 o    0    1.65 186.44598 12.66357  7158.45  6121.53  3.53  3.04  89.7 -0.474    18.71 19.75 02a57445o0698o
57445.586278 18.623526      NaN     -218     43 o    0    2.04 186.44598 12.66357  6856.43  5542.68  3.48  3.15  89.4 -0.474    18.70 19.74 02a57445o0739o
57445.608905 18.910912      NaN      -53     33 o    0    1.93 186.44598 12.66357  8026.65  4972.47  3.60  3.19  82.3 -0.466    18.65 19.65 02a57445o0780o
57445.632046 18.702047      NaN      -64     40 o    0    1.43 186.44598 12.66357  8292.57  4860.94  3.69  3.25  81.3 -0.476    18.59 19.57 02a57445o0821o
57464.507958 19.212347      NaN      -72     25 o    0    3.14 186.44598 12.66357  7194.32  5722.35  3.75  3.22  87.2 -0.455    19.05 20.64 02a57464o0603o
57464.530868 19.169763      NaN     -168     26 o    0    2.47 186.44598 12.66357  6909.41  5141.95  3.62  3.31 -87.9 -0.472    19.26 21.00 02a57464o0646o
57464.553603 19.128787      NaN     -127     27 o    0    2.61 186.44598 12.66357  8061.53  4570.99  3.80  3.40  80.1 -0.454    19.24 20.98 02a57464o0689o
57464.575983 18.978793      NaN     -188     31 o    0    1.86 186.44598 12.66357  8289.21  4847.16  3.85  3.47  77.8 -0.455    19.14 20.85 02a57464o0732o
57472.511181 18.526952      NaN      -91     47 o    0    1.75 186.44598 12.66357  7243.58  6076.30  3.63  2.93  88.8 -0.493    18.15 18.77 02a57472o0569o
57472.531700 18.243872      NaN     -124     61 o    0    1.49 186.44598 12.66357  6944.72  5496.10  3.58  3.11 -88.7 -0.468    18.13 18.75 02a57472o0604o
57472.552664 18.317510      NaN     -115     57 o    0    1.47 186.44598 12.66357  8122.77  4925.34  3.78  3.31  82.2 -0.469    18.05 18.65 02a57472o0638o
57472.569083 17.935984      NaN       69     58 o    0    1.35 186.44598 12.66357  8279.71  4851.93  3.80  3.27  84.6 -0.479    18.02 18.61 02a57472o0663o
